x,y,c
-73.9698,40.6895,0
-73.9972,40.6843,0
-73.956,40.78,0
-74.007,40.7206,0
-73.9916,40.7506,0
-73.9709,40.7952,0
-73.9573,40.7802,0
-74.0068,40.7357,0
-73.9634,40.7578,0
-73.9875,40.7446,0
-73.9627,40.7993,0
-73.9895,40.7204,0
-73.9755,40.7613,0
-73.987,40.7453,0
-73.982,40.7665,0
-73.962,40.7679,0
-74.0116,40.7145,0
-73.99,40.7348,0
-73.989,40.7368,0
-73.873,40.7741,0
-73.9613,40.7804,0
-73.9927,40.743,0
-73.9881,40.7597,0
-73.978,40.7524,0
-73.9924,40.7383,0
-73.9939,40.7513,0
-73.9797,40.744,0
-73.8854,40.7732,0
-74.0072,40.7341,0
-74.0074,40.7411,0
-73.9815,40.7807,0
-73.9808,40.7572,0
-73.9459,40.786,0
-73.9856,40.7684,0
-73.9778,40.7574,0
-73.9664,40.7618,0
-73.9684,40.7993,0
-73.9823,40.7639,0
-73.9906,40.7423,0
-74.0056,40.7402,0
-73.9914,40.7318,0
-73.9902,40.7447,0
-73.9792,40.7549,0
-73.9774,40.7726,0
-73.9803,40.7762,0
-73.9893,40.738,0
-73.9724,40.7584,0
-73.9754,40.7466,0
-74.001,40.7375,0
-73.9989,40.7322,0
-73.9811,40.7375,0
-74.0101,40.7332,0
-73.9622,40.7634,0
-73.979,40.7445,0
-73.9821,40.7461,0
-73.9893,40.7578,0
-73.9823,40.7744,0
-73.9919,40.7383,0
-73.9637,40.7772,0
-73.9884,40.7391,0
-74.0055,40.737,0
-73.9573,40.7175,0
-73.9539,40.7787,0
-74.0044,40.7075,0
-73.9554,40.7797,0
-73.9535,40.7667,0
-73.9744,40.7834,0
-73.948,40.7828,0
-73.9772,40.7425,0
-73.9743,40.7913,0
-73.3204,40.4488,1
-73.9695,40.7601,0
-73.974,40.784,0
-73.991,40.7446,0
-73.9936,40.7416,0
-73.9576,40.8123,0
-73.9892,40.7502,0
-73.989,40.7414,0
-74.0055,40.7484,0
-74.0051,40.7323,0
-74.0061,40.7377,0
-73.9746,40.7563,0
-73.972,40.7555,0
-74.0008,40.7471,0
-73.9557,40.7796,0
-73.98,40.7599,0
-73.9757,40.7656,0
-73.9781,40.7464,0
-73.9747,40.7423,0
-73.9898,40.7433,0
-73.9734,40.7548,0
-73.9965,40.7428,0
-74.0051,40.7411,0
-73.9884,40.769,0
-73.9994,40.7442,0
-73.9673,40.7566,0
-73.9614,40.8115,0
-73.9747,40.7637,0
-73.996,40.7385,0
-73.9558,40.764,0
-74.0068,40.7357,0
-73.963,40.7663,0
-74.0095,40.728,0
-73.9679,40.7591,0
-73.9625,40.7547,0
-74.0071,40.7161,0
-73.9966,40.7382,0
-73.9767,40.727,0
-73.9809,40.7643,0
-73.9923,40.7489,0
-73.9958,40.7266,0
-73.9843,40.7251,0
-73.9685,40.7557,0
0,0,1
-73.9789,40.7406,0
-73.9937,40.7434,0
-73.9687,40.756,0
-73.9783,40.7571,0
-74.0069,40.7356,0
-73.9807,40.7646,0
-73.991,40.7549,0
-73.9749,40.7633,0
-73.9565,40.7782,0
-73.9637,40.8033,0
-73.9963,40.724,0
-73.9912,40.7595,0
-74.0004,40.7226,0
-74.0086,40.7071,0
-73.9819,40.7622,0
-73.9877,40.7193,0
-73.9881,40.7282,0
-73.9718,40.7505,0
-73.9842,40.7704,0
-73.9784,40.6841,0
-73.9908,40.734,0
-73.5836,40.6433,1
0,0,1
-74.0004,40.7273,0
-73.9861,40.7347,0
-73.9876,40.7628,0
-73.9822,40.7709,0
-73.8541,40.7297,0
-73.972,40.7605,0
-73.9913,40.7493,0
-73.9826,40.7824,0
-74.0017,40.7307,0
-73.9856,40.7585,0
-73.9667,40.7728,0
-73.9764,40.7439,0
-73.9828,40.772,0
-73.9593,40.8093,0
-73.9223,40.7638,0
-73.9852,40.7318,0
-74.0001,40.7347,0
-73.988,40.764,0
-73.9522,40.7692,0
-73.9846,40.7199,0
-73.9452,40.7787,0
-73.992,40.7379,0
-73.9497,40.7728,0
-73.8629,40.769,0
-74.0144,40.7044,0
-73.9977,40.7241,0
-73.9574,40.8012,0
-73.9945,40.7558,0
-73.953,40.783,0
-73.9912,40.7331,0
-73.9607,40.776,0
-73.9571,40.7831,0
-73.9685,40.7677,0
-73.9859,40.7417,0
-73.9886,40.7748,0
-73.9832,40.7626,0
-73.8643,40.7698,0
-73.984,40.7216,0
-73.9937,40.7569,0
-73.9889,40.7578,0
-73.9807,40.78,0
-73.9851,40.728,0
-73.9714,40.7538,0
0,0,1
-73.7896,40.6438,0
-73.9975,40.7215,0
-73.965,40.7599,0
-73.9204,40.7328,0
-73.9747,40.7562,0
-74.0105,40.7297,0
-73.9934,40.7518,0
-73.9998,40.7617,0
-73.9989,40.6809,0
-73.9917,40.7395,0
-74.0086,40.7203,0
-73.9909,40.7178,0
-73.9822,40.7684,0
-73.9778,40.7548,0
-73.9856,40.767,0
-73.8711,40.7738,0
-73.9596,40.7669,0
-73.8744,40.7741,0
-73.9905,40.7369,0
0,0,1
-73.9836,40.7562,0
-74.0194,40.7577,0
-73.9707,40.7517,0
-74.0069,40.7303,0
-73.9835,40.7384,0
-73.9155,40.7642,0
-73.9639,40.7613,0
-73.7955,40.6447,0
-73.9736,40.7635,0
-73.9977,40.7187,0
-73.9719,40.7624,0
-73.9835,40.7498,0
-73.986,40.7399,0
-73.9916,40.7497,0
-73.9813,40.7808,0
-73.9972,40.7222,0
-73.9949,40.7397,0
-73.9837,40.7758,0
-73.9853,40.7556,0
-73.9786,40.7773,0
-73.9712,40.7633,0
-74.0008,40.7317,0
-73.9663,40.7616,0
0,0,1
-73.9599,40.7801,0
-73.9704,40.754,0
-73.9823,40.7642,0
-73.9846,40.7491,0
-73.9605,40.7756,0
-73.9944,40.7405,0
-73.9656,40.762,0
-73.992,40.7425,0
-74.0015,40.7466,0
-73.989,40.7352,0
-74.0048,40.7303,0
-73.9691,40.7901,0
-74.007,40.7189,0
-73.9672,40.8034,0
-73.9796,40.7464,0
-73.955,40.7658,0
-73.9788,40.7624,0
-73.9912,40.7503,0
-73.7893,40.643,0
-73.9787,40.7894,0
-73.9685,40.7645,0
-73.9927,40.7374,0
-73.9744,40.7555,0
-73.9757,40.7514,0
-73.8883,40.8216,0
-73.9667,40.764,0
-74.0111,40.7136,0
-73.9914,40.7451,0
-74.0067,40.7198,0
-73.9839,40.7467,0
-73.9532,40.779,0
-73.9736,40.7627,0
-73.9537,40.7677,0
-73.9618,40.7683,0
-73.9553,40.7809,0
-73.9815,40.7738,0
-73.984,40.7433,0
-73.99,40.7561,0
-73.9797,40.7556,0
-73.9829,40.6864,0
-73.9874,40.7327,0
-73.9974,40.7238,0
-73.9834,40.771,0
-73.9947,40.7507,0
-73.9845,40.7701,0
0,0,1
-73.9823,40.746,0
-74.006,40.7402,0
-73.9935,40.7026,0
-73.9808,40.7429,0
-73.985,40.7278,0
-73.9938,40.7445,0
-73.9498,40.7843,0
-73.9526,40.7664,0
-74.0114,40.71,0
-73.9734,40.7499,0
-73.9311,40.7606,0
-73.9814,40.7498,0
-73.9779,40.7459,0
-73.9647,40.7759,0
-73.9779,40.7637,0
-73.9813,40.7477,0
-73.992,40.7502,0
-73.8627,40.7688,0
-73.9944,40.7408,0
-74.0042,40.7477,0
-73.9808,40.7257,0
-73.9667,40.7577,0
-73.9976,40.7466,0
-73.9905,40.7516,0
-73.9745,40.7633,0
-73.9779,40.6847,0
-73.9808,40.7826,0
-73.9968,40.7446,0
-73.9906,40.7559,0
-73.9764,40.7518,0
-73.9783,40.7773,0
-73.9622,40.7792,0
-73.9841,40.7433,0
-74.0034,40.7137,0
-73.9402,40.7553,0
-74.0028,40.7457,0
-73.984,40.7609,0
-73.9575,40.7739,0
-73.9486,40.8089,0
-73.9708,40.7582,0
-73.9697,40.7976,0
-73.992,40.7257,0
-73.9952,40.7399,0
-73.954,40.7787,0
-73.9895,40.7342,0
-73.9877,40.7479,0
-73.906,40.7588,0
-74.0127,40.7026,0
-73.9712,40.757,0
-73.9953,40.7253,0
-74.0194,40.6705,0
-73.9742,40.7468,0
-73.9655,40.792,0
-73.9771,40.743,0
-73.8745,40.774,0
-73.9867,40.7389,0
-73.9933,40.7575,0
-73.9826,40.7518,0
-73.9818,40.7837,0
-73.9706,40.7611,0
-73.9827,40.7179,0
0,0,1
-73.9762,40.757,0
-73.9956,40.7249,0
-73.9525,40.7868,0
-73.9846,40.755,0
-73.9842,40.743,0
-73.9677,40.766,0
-73.9828,40.7721,0
-73.9782,40.7292,0
-73.99,40.7293,0
-73.9887,40.747,0
-73.9824,40.7627,0
-73.9677,40.7561,0
-73.9823,40.7483,0
-73.9946,40.7451,0
-73.9905,40.7146,0
-73.9969,40.7321,0
-73.9662,40.7895,0
-73.9546,40.7739,0
-73.9785,40.7368,0
-73.9742,40.758,0
-73.9865,40.7332,0
-73.9896,40.7628,0
-73.8709,40.7737,0
-73.9777,40.7531,0
-74.0006,40.747,0
-73.9706,40.7521,0
0,0,1
-73.9892,40.7554,0
-73.8442,40.7213,0
-73.9232,40.7569,0
-73.9749,40.7579,0
-73.9496,40.7696,0
-73.9568,40.767,0
-73.9872,40.7276,0
-73.9914,40.7206,0
-73.9978,40.7168,0
-73.9846,40.7398,0
-73.9884,40.7772,0
-73.9915,40.7298,0
-73.9619,40.7596,0
-73.9669,40.7586,0
-73.9765,40.7561,0
-73.9973,40.7196,0
-73.9641,40.7649,0
-74.005,40.7296,0
-73.9726,40.7809,0
-73.9906,40.7304,0
-73.9604,40.8195,0
-74.0043,40.7521,0
-73.9719,40.753,0
-73.9911,40.7498,0
-73.9873,40.7293,0
-74.0108,40.72,0
-73.9602,40.7618,0
-73.9911,40.7328,0
-73.9752,40.7527,0
-73.9775,40.7531,0
-73.9736,40.7637,0
-74.009,40.7061,0
-73.9587,40.766,0
-73.9805,40.7648,0
-73.9809,40.7565,0
-73.9821,40.752,0
-73.975,40.7629,0
-73.9663,40.7707,0
-73.9789,40.7445,0
-73.9829,40.772,0
-73.9722,40.7816,0
-73.9936,40.7572,0
-74.0035,40.7401,0
-74.0084,40.7354,0
-73.9702,40.7578,0
-73.9663,40.7579,0
-73.9794,40.7553,0
0,2e-06,1
-73.9752,40.7556,0
-73.9755,40.7484,0
-73.9827,40.7679,0
-73.9861,40.7524,0
-73.9714,40.7927,0
-73.9763,40.7887,0
-73.8321,40.7389,0
-73.988,40.7495,0
-74.0016,40.7307,0
-73.9824,40.7682,0
-74.0088,40.7115,0
-73.9712,40.7667,0
-73.984,40.7441,0
-73.9862,40.7583,0
-73.9881,40.737,0
-73.9692,40.7574,0
-73.8627,40.7689,0
-73.9936,40.7521,0
-73.9803,40.7426,0
-73.9848,40.7363,0
-73.9724,40.8242,0
-73.968,40.7652,0
-73.9603,40.7619,0
-73.9869,40.7494,0
-73.9923,40.7139,0
-73.9911,40.7605,0
-73.9849,40.7639,0
-73.8628,40.7691,0
-73.9543,40.787,0
-74.0033,40.7273,0
-73.9765,40.7478,0
-73.9966,40.7378,0
-73.988,40.7554,0
-74.0075,40.7339,0
-73.9557,40.7737,0
-73.9765,40.7506,0
-73.989,40.7643,0
-73.9826,40.7721,0
-73.9757,40.7894,0
-73.9819,40.764,0
-73.9789,40.7544,0
-73.9611,40.7688,0
-73.9849,40.7691,0
-73.9688,40.799,0
-73.9787,40.7775,0
-73.9914,40.7555,0
-73.9648,40.7727,0
-74.0021,40.7638,0
-73.9863,40.7436,0
-73.9782,40.7525,0
-73.9679,40.7626,0
-74.0007,40.73,0
-73.9753,40.7652,0
-73.9869,40.7644,0
-73.9916,40.727,0
-73.9955,40.7393,0
-73.9656,40.8055,0
-73.9714,40.7763,0
-73.9611,40.7692,0
-74.0161,40.7151,0
-73.9787,40.7532,0
-73.9523,40.7782,0
-73.9653,40.8063,0
-73.967,40.8039,0
-74.0075,40.7155,0
-73.9883,40.7232,0
-74.0087,40.7221,0
-73.9821,40.762,0
-73.9817,40.7598,0
-74.0008,40.7171,0
-73.9915,40.7298,0
-73.9904,40.7564,0
-73.995,40.7543,0
-74.0025,40.7497,0
-73.9441,40.776,0
-73.998,40.7244,0
-73.7832,40.6485,0
-73.9514,40.7738,0
-73.9972,40.7255,0
-73.9986,40.7355,0
-73.9791,40.7624,0
-73.9902,40.7327,0
-73.9927,40.7021,0
-73.9745,40.7594,0
-73.9862,40.7617,0
-73.9743,40.7595,0
-73.9823,40.7651,0
-73.9833,40.7547,0
-73.9847,40.7244,0
-73.9616,40.7801,0
-73.9895,40.7488,0
-73.9662,40.754,0
-73.9641,40.7736,0
-73.982,40.7572,0
-73.9885,40.7369,0
-73.9525,40.7867,0
-73.9787,40.7878,0
-73.9585,40.7184,0
-73.983,40.7565,0
-74.0083,40.7346,0
-73.9816,40.763,0
-73.7767,40.6453,0
-73.9857,40.7572,0
-73.9982,40.7355,0
-73.9882,40.7778,0
-73.9854,40.7685,0
-73.9634,40.7661,0
-73.7835,40.6487,0
-73.7904,40.6451,0
-73.9738,40.7434,0
-74.0069,40.7287,0
-73.9614,40.7603,0
-74.008,40.729,0
-73.975,40.7524,0
-74.0099,40.7375,0
-73.9857,40.7584,0
-74.0061,40.7398,0
-73.9438,40.7766,0
-74.0073,40.7285,0
-73.996,40.7592,0
-73.9537,40.7821,0
-73.9728,40.7636,0
-73.9914,40.75,0
-73.9994,40.7251,0
-73.9543,40.7688,0
-73.9912,40.7606,0
-73.9756,40.7622,0
-73.9854,40.7309,0
-73.9979,40.7361,0
-73.9911,40.7506,0
-73.9696,40.7676,0
-73.9979,40.7241,0
-73.9941,40.72,0
-73.9849,40.748,0
-73.9863,40.7549,0
-73.9496,40.7967,0
-73.9662,40.805,0
-73.9846,40.748,0
0,0,1
-73.9704,40.765,0
-73.8853,40.7731,0
-73.9822,40.7711,0
-73.9681,40.8003,0
-73.8658,40.7694,0
-73.9854,40.7531,0
-73.9561,40.7849,0
-73.9819,40.7731,0
-73.9529,40.7783,0
-73.972,40.7568,0
-73.9828,40.7545,0
-73.9891,40.7215,0
-73.9713,40.7617,0
-73.9943,40.7611,0
-73.9912,40.7446,0
-73.9933,40.7372,0
-73.9925,40.7244,0
-73.983,40.7636,0
-73.9973,40.7256,0
-73.984,40.7422,0
-73.9904,40.7515,0
-73.9601,40.7756,0
-74.0074,40.7053,0
-73.866,40.7709,0
-73.987,40.7224,0
-74.0087,40.7218,0
-73.9723,40.7868,0
-73.9811,40.7418,0
-74.0078,40.7318,0
-73.9759,40.7578,0
-73.9751,40.7826,0
-73.9907,40.7509,0
-73.9852,40.7359,0
-73.9929,40.726,0
-73.9921,40.7441,0
-73.9718,40.7956,0
-74.0071,40.7134,0
-73.9931,40.7706,0
-73.948,40.7788,0
-73.9952,40.7252,0
-73.957,40.7833,0
-73.9566,40.763,0
-73.9454,40.8081,0
-73.9794,40.7609,0
-73.9644,40.7682,0
-73.9644,40.7642,0
-73.9577,40.7744,0
-73.7814,40.6448,0
-73.9827,40.7427,0
-73.9702,40.756,0
-73.9916,40.7263,0
-73.9695,40.7938,0
-73.9752,40.7592,0
-73.9753,40.7565,0
-74.0138,40.7152,0
-73.9958,40.7642,0
-74.0086,40.7196,0
-73.957,40.8177,0
-73.9578,40.7652,0
-73.9812,40.6674,0
-73.8917,40.7964,0
-73.9443,40.7518,0
-73.9691,40.7699,0
-73.975,40.756,0
-73.99,40.7296,0
-73.9582,40.768,0
-73.9869,40.7454,0
-73.9214,40.6815,0
-74.0019,40.7352,0
-73.9919,40.7496,0
-73.9808,40.7337,0
-73.9911,40.7653,0
-73.9816,40.7326,0
-73.9821,40.7402,0
-73.9844,40.7595,0
-73.9783,40.7633,0
-73.9588,40.7104,0
-73.9734,40.7439,0
-73.9823,40.7752,0
-73.8731,40.7741,0
-73.9787,40.7667,0
-73.9516,40.7698,0
-73.9789,40.7369,0
-73.9781,40.7456,0
-73.968,40.8014,0
-74.0076,40.7516,0
-73.9891,40.7231,0
-73.9711,40.7523,0
-74.2419,40.7823,0
-73.9799,40.7276,0
-73.9728,40.7651,0
-73.984,40.7292,0
-73.9614,40.7624,0
-73.9535,40.7711,0
-73.9899,40.7369,0
-73.9789,40.7852,0
-73.948,40.7707,0
-73.9894,40.7301,0
-74.0132,40.706,0
-73.9815,40.7329,0
-73.9938,40.718,0
-73.9889,40.7367,0
-73.956,40.768,0
-74.0079,40.7421,0
-73.9934,40.7421,0
-74.0085,40.7288,0
-73.9748,40.7899,0
-73.9151,40.647,0
-73.9655,40.7715,0
-73.9948,40.7502,0
-73.9712,40.7622,0
-74.0051,40.7465,0
-73.9673,40.7666,0
-74.0073,40.7258,0
-73.9887,40.7226,0
-73.9961,40.7541,0
-73.9929,40.7433,0
-73.9988,40.7519,0
-73.9967,40.7373,0
-73.974,40.784,0
-73.999,40.7445,0
-73.9976,40.7189,0
-73.9624,40.7789,0
-73.9727,40.7558,0
-73.9852,40.7423,0
-73.996,40.7228,0
-73.9915,40.739,0
-73.787,40.6417,0
-73.9879,40.7437,0
-73.9835,40.7262,0
-73.989,40.7573,0
-73.9538,40.771,0
-73.98,40.7755,0
-74.0001,40.763,0
-73.785,40.6591,0
-73.9826,40.7668,0
-73.9503,40.7857,0
-73.9944,40.7269,0
-73.9824,40.74,0
-73.9723,40.7652,0
-73.9543,40.7707,0
-74.0008,40.7319,0
-73.9887,40.7633,0
-73.7884,40.6413,0
-73.9999,40.7388,0
-73.9725,40.7601,0
-73.9808,40.7778,0
-73.9769,40.7849,0
-73.9736,40.7634,0
-73.9694,40.7664,0
-73.937,40.7591,0
0,0,1
-74.0054,40.7484,0
-73.9773,40.747,0
-74.0061,40.7169,0
-73.9694,40.6895,0
-73.9971,40.7422,0
-73.7885,40.6415,0
-73.9964,40.7382,0
-73.9796,40.7517,0
-73.9973,40.7217,0
-73.9672,40.7665,0
-73.9672,40.7693,0
-73.9741,40.7916,0
-73.9899,40.737,0
-73.9719,40.7952,0
-73.9744,40.7594,0
-73.9869,40.7643,0
-74.0074,40.7432,0
-74.0015,40.731,0
-73.9863,40.7458,0
-73.9762,40.7645,0
-74.014,40.7168,0
-73.9988,40.7448,0
-73.964,40.7569,0
-73.96,40.7793,0
-73.9891,40.7584,0
-73.9731,40.7599,0
-73.983,40.7193,0
-73.9918,40.7499,0
-73.972,40.7869,0
-73.9946,40.7505,0
-73.9742,40.7839,0
-73.8323,40.734,0
-73.9782,40.7416,0
-73.9612,40.7649,0
-73.9684,40.7656,0
-73.997,40.7167,0
-73.9855,40.7601,0
-73.9914,40.7498,0
-73.9819,40.7688,0
-73.9559,40.7815,0
-73.999,40.7445,0
-73.9522,40.7775,0
-73.9213,40.7561,0
-73.9729,40.7647,0
-73.9899,40.7462,0
-73.9813,40.7784,0
-73.982,40.7525,0
-73.9787,40.7878,0
-73.9633,40.7557,0
-73.9782,40.7567,0
-73.9498,40.7723,0
-73.9914,40.7502,0
-73.9705,40.759,0
-73.9899,40.7342,0
-73.9829,40.7582,0
0,0,1
-73.962,40.7597,0
-73.9846,40.7649,0
-74.0062,40.706,0
-73.962,40.8055,0
-73.9596,40.7629,0
-73.9663,40.7663,0
-73.9951,40.7601,0
-73.9923,40.6951,0
-73.9584,40.7478,0
-73.9547,40.7741,0
-73.9778,40.7258,0
-74.0077,40.7428,0
-73.9868,40.7512,0
-73.9909,40.7342,0
-73.9684,40.7622,0
-74.0043,40.7198,0
-73.874,40.7568,0
-73.9873,40.7757,0
-74.0088,40.7262,0
-73.9937,40.721,0
-73.9654,40.7591,0
-74.009,40.7038,0
-74.0033,40.7336,0
-73.9719,40.7464,0
-73.9673,40.7634,0
-73.9971,40.7356,0
-73.9641,40.808,0
-73.9232,40.7987,0
-73.9839,40.7216,0
-74.0008,40.7473,0
-73.9834,40.7598,0
-73.9876,40.7243,0
-73.9693,40.7667,0
-73.9792,40.7403,0
-74.0033,40.727,0
-73.9988,40.7299,0
-73.9962,40.7534,0
-73.9932,40.7366,0
-73.9883,40.6884,0
-73.9836,40.6944,0
-73.9852,40.7443,0
-74.0088,40.7159,0
-73.9536,40.767,0
-74.0062,40.7171,0
-73.9742,40.7314,0
-73.992,40.7258,0
-73.9773,40.7727,0
-73.948,40.7788,0
-73.9586,40.7651,0
-73.9907,40.7507,0
-73.9788,40.786,0
-73.9668,40.8039,0
-73.9923,40.7379,0
-73.9865,40.7342,0
-73.9972,40.7414,0
-73.9569,40.7829,0
-73.9851,40.7368,0
-73.9506,40.775,0
-73.9835,40.7347,0
-73.9787,40.7639,0
-73.9991,40.7393,0
-73.9897,40.7339,0
-73.9818,40.7688,0
-73.9473,40.784,0
-73.9842,40.7755,0
-74.007,40.7438,0
-73.7768,40.6455,0
-73.9851,40.7642,0
-73.9644,40.7551,0
-73.9802,40.7858,0
-73.9601,40.7792,0
-73.994,40.751,0
-73.946,40.773,0
-73.9047,40.55,0
-73.9889,40.7517,0
-73.9983,40.7352,0
-73.9693,40.7565,0
-73.9876,40.745,0
-73.9747,40.7632,0
-74.0054,40.7839,0
-74.005,40.7408,0
-74.0166,40.7044,0
-74.0061,40.7412,0
-73.9604,40.7728,0
-73.9748,40.783,0
-74.0008,40.7255,0
-74.0042,40.7255,0
-73.9616,40.8108,0
-73.9876,40.7624,0
-73.9515,40.7698,0
-73.9732,40.764,0
-73.9972,40.725,0
